Date,Open,Close,High,Low,Volume
2022-06-01,509.2567495674686,242.1933709844143,267.4997753592918,382.52672822038494,1319529.0
2022-06-02,407.1842110850316,434.235073549045,587.3307840397019,268.3073040013347,965875.0
2022-06-03,339.23823726731524,417.73795505372846,381.1533441662047,306.8839581944296,1874883.0
2022-06-04,348.6957179625321,293.4963168146977,578.2860433764098,403.6453540750088,1818985.0
2022-06-05,200.54145028618728,455.1096567382366,470.7280174520188,258.981566970454,276609.0
2022-06-06,319.9202110260944,528.0270008222598,320.6347479494206,444.66227025840567,1775031.0
2022-06-07,458.5834966551722,216.6315839386375,275.3210099668425,426.2989226204584,1389564.0
2022-06-08,589.6777775265429,399.2519774192169,321.49401849003976,485.8809265529031,201322.0
2022-06-09,538.8243307935597,475.7241648410761,237.20696370507,575.0818461517471,1926897.0
2022-06-10,209.43798585821165,300.92477082787485,257.5471865373319,564.9018244404623,1593114.0
2022-06-11,559.4242418699357,323.1083621172596,241.86417613859248,578.4302472275326,51023.0
2022-06-12,513.2793653194503,445.45516119575353,369.1774174966231,297.88623880948035,1679214.0
2022-06-13,512.1504494283922,559.1741173774948,518.2313505030345,252.62612265574185,182696.0
2022-06-14,383.1983036014286,523.9697681211597,256.55342168653607,320.91068019857937,1594291.0
2022-06-15,359.2021171818011,433.2520876398334,252.12817326893435,558.0340691065259,431492.0
2022-06-16,321.16629153327705,492.08868710289966,457.3715798069323,588.8213898493952,863075.0
2022-06-17,226.2779435817463,345.92898808311946,278.8731927872265,543.7299804281904,215084.0
2022-06-18,291.2941453974796,456.3862112395031,239.04401524359665,244.00708845101744,1188087.0
2022-06-19,298.64145399120986,386.4726364510228,266.73943128223107,578.9711992239172,484064.0
2022-06-20,393.6308278840807,275.97445458302434,569.4925583507104,369.3432109403144,1796267.0
2022-06-21,498.9777626386776,480.6953095509029,528.5885011104763,203.72411630494148,1132248.0
2022-06-22,389.5239313591786,422.5858549395288,341.62582494203764,376.9574962992774,477919.0
2022-06-23,223.13777977886423,343.4486327814366,462.3283069309571,218.42766787018704,1070876.0
2022-06-24,583.1159203952816,564.5356760314523,414.9102694672152,417.551168464447,327433.0
2022-06-25,577.089727637645,208.3736471306933,470.8497053930256,335.4216109748205,1463974.0
2022-06-26,514.0758172593634,326.3092604997984,473.0684609851037,389.3739734376195,468723.0
2022-06-27,596.5311606256882,222.75255911105864,451.4936060239972,445.2681442972468,1497704.0
2022-06-28,417.7929331201052,506.6109264886509,306.44054741492346,547.5204383271281,949413.0
2022-06-29,585.1073401012825,480.84298164551706,215.60256830512725,464.76063058877145,24659.0
2022-06-30,230.2420162467003,332.5408874945268,382.2267127960436,373.61954739127225,691763.0
2022-07-01,346.27229930454854,470.2651608828292,556.3895538762815,527.771141468146,1298835.0
2022-07-02,290.1525072027063,358.37489047837994,427.7989034074304,562.232855029253,1480378.0
2022-07-03,278.333233653708,502.5015165689737,532.9564166807631,247.9039865728789,15360.0
2022-07-04,256.3211795570704,381.67346509468246,596.6497371844912,412.7731910211166,812856.0
2022-07-05,448.9654566263987,364.9118911326663,265.4464816553105,313.80478389697765,1675899.0
2022-07-06,512.528742298922,573.8919661953204,476.71105565679295,218.82447915077896,1557023.0
2022-07-07,431.3193597681443,300.3516399562801,469.71742948000986,467.41867804559416,53791.0
2022-07-08,258.7850838352839,248.17893599862617,591.9821789433114,545.1083109836902,401281.0
2022-07-09,524.4495079733883,433.8172453037832,594.2402935811201,265.1610617909576,1777731.0
2022-07-10,454.3818828654914,587.7287249136716,474.67144468965176,524.9654630495602,1562386.0
2022-07-11,355.2662824507982,351.13568549087466,297.4459167928777,541.3582934147767,1328020.0
2022-07-12,469.6521182144252,224.81470545151265,519.4223352522397,565.7361770665934,562658.0
2022-07-13,303.9619916971332,335.72210692382697,242.81165368441523,306.114035634421,730191.0
2022-07-14,338.07688339768424,402.37266172782336,512.2797216686515,561.5812260759558,1080785.0
2022-07-15,566.9943372527961,264.7692026528855,564.0784496578785,328.2651018945729,506503.0
